user_id,tweets_count
819416797354954800,1680
16539819,1640
3421383863,1631
431143812,1341
254914790,1027
714078321596760000,869
409018930,824
96862725,817
3239534180,698
4905379695,624
164067322,611
820960254091329500,605
808607239711772700,598
774482943179829200,568
1484253822,547
246722425,532
743368078801571800,524
792998042722967600,512
2988629517,506
70853866,469
4160339063,466
221248191,446
2397037440,429
843734884493348900,413
517997193,410
216846933,397
44104413,389
41298522,388
4098617593,379
65607720,374
